,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
trace_prior_[0],-0.013,0.919,-1.544,1.475,0.011,0.01,7349.0,6097.0,1.0
trace_prior_[1],-0.23,1.034,-2.032,1.342,0.012,0.011,7561.0,5785.0,1.0
trace_prior_[2],-0.489,0.953,-2.073,1.041,0.01,0.01,8389.0,5583.0,1.0
trace_prior_[3],0.201,0.997,-1.429,1.883,0.01,0.012,9650.0,5662.0,1.0
lamz,0.634,0.258,0.203,1.052,0.003,0.002,7349.0,6097.0,1.0
lam,1.595,0.261,1.178,2.038,0.003,0.002,9303.0,6143.0,1.0
sigma,0.959,0.167,0.679,1.226,0.002,0.001,8301.0,6235.0,1.0
alpha,8.115,0.587,7.195,9.145,0.006,0.004,9622.0,5717.0,1.0
mu,9.01,0.507,8.173,9.832,0.006,0.004,7266.0,6605.0,1.0
