,Direct Sampling,Direct Sampling,Direct Sampling,MvN-approx.,MvN-approx.,MvN-approx.,Meta-analysis,Meta-analysis,Meta-analysis
,mean,sd,hdi,mean,sd,hdi,mean,sd,hdi
alpha,7.55,0.34,"[6.98, 8.03]",9.38,1.07,"[7.68, 11.09]",9.04,2.93,"[4.27, 13.61]"
beta,0.88,0.03,"[0.83, 0.91]",1.01,0.12,"[0.80, 1.20]",1.04,0.24,"[0.65, 1.44]"
mu,8.59,0.42,"[8.08, 9.19]",9.27,0.27,"[8.82, 9.71]",8.35,1.31,"[6.25, 10.45]"
sigma,3.13,0.10,"[3.00, 3.27]",3.04,0.21,"[2.71, 3.38]",2.90,0.02,"[2.88, 2.93]"
pdf,8.63,3.14,"[3.66, 13.53]",9.17,2.99,"[4.24, 13.70]",8.63,2.83,"[3.90, 12.81]"
