,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,9.063,0.177,8.787,9.365,0.002,0.002,5684.0,4791.0,1.0
alpha,8.264,0.769,7.064,9.584,0.011,0.008,5035.0,3708.0,1.0
