,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.947,0.195,5.593,6.32,0.003,0.002,5439.0,4608.0,1.0
alpha,1.281,0.096,1.109,1.467,0.001,0.001,4938.0,3719.0,1.0
