,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,9.092,0.191,8.745,9.453,0.003,0.002,5394.0,4743.0,1.0
alpha,7.92,0.771,6.471,9.34,0.011,0.008,5183.0,4057.0,1.0
