,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,6.271,0.155,5.993,6.571,0.002,0.001,5741.0,4607.0,1.0
alpha,1.684,0.089,1.517,1.849,0.001,0.001,5108.0,4303.0,1.0
