,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,6.19,0.161,5.895,6.494,0.002,0.002,5597.0,4786.0,1.0
alpha,1.64,0.089,1.476,1.808,0.001,0.001,4999.0,4466.0,1.0
