,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,9.111,0.266,8.634,9.629,0.004,0.003,5435.0,4908.0,1.0
alpha,7.471,0.788,6.053,8.986,0.011,0.008,4740.0,3413.0,1.0
