,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.981,0.177,5.656,6.309,0.002,0.002,5721.0,5166.0,1.0
alpha,1.517,0.091,1.34,1.681,0.001,0.001,4770.0,4189.0,1.0
