,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,6.132,0.168,5.825,6.448,0.002,0.002,5631.0,4821.0,1.0
alpha,1.572,0.09,1.405,1.739,0.001,0.001,5004.0,4339.0,1.0
