,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,6.325,0.15,6.04,6.598,0.002,0.001,5563.0,4914.0,1.0
alpha,1.726,0.09,1.558,1.893,0.001,0.001,5220.0,4439.0,1.0
