,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,8.957,0.211,8.56,9.341,0.003,0.002,5929.0,4960.0,1.0
alpha,7.779,0.771,6.3,9.182,0.011,0.008,4765.0,3746.0,1.0
