,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,9.084,0.348,8.448,9.742,0.005,0.003,5345.0,4779.0,1.0
alpha,6.87,0.853,5.317,8.496,0.012,0.009,4716.0,3568.0,1.0
