,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.595,0.215,5.194,5.996,0.003,0.002,6162.0,4968.0,1.0
alpha,1.182,0.101,0.992,1.368,0.001,0.001,5140.0,4389.0,1.0
