,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,6.007,0.184,5.676,6.363,0.002,0.002,6047.0,5013.0,1.0
alpha,1.415,0.093,1.243,1.588,0.001,0.001,5220.0,4023.0,1.0
