,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,9.105,0.184,8.771,9.453,0.002,0.002,5764.0,4395.0,1.0
alpha,8.071,0.771,6.631,9.513,0.011,0.008,5133.0,4002.0,1.0
