,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,9.032,0.3,8.466,9.598,0.004,0.003,5558.0,4913.0,1.0
alpha,7.136,0.819,5.626,8.683,0.012,0.008,4759.0,3648.0,1.0
