,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,8.848,0.226,8.434,9.281,0.003,0.002,5589.0,4932.0,1.0
alpha,7.803,0.77,6.404,9.279,0.011,0.008,4966.0,3701.0,1.0
