,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.548,0.847,6.119,8.902,0.02,0.014,1854.0,2146.0,1.0
beta,0.929,0.115,0.734,1.113,0.003,0.002,1950.0,2397.0,1.0
mu,8.165,0.692,7.01,9.261,0.009,0.006,6251.0,5474.0,1.0
sigma,2.983,0.274,2.566,3.438,0.005,0.004,2858.0,3915.0,1.0
