,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.328,0.828,5.987,8.675,0.017,0.012,2330.0,3021.0,1.0
beta,0.887,0.11,0.694,1.058,0.002,0.002,2173.0,2393.0,1.0
mu,8.304,0.696,7.134,9.424,0.009,0.006,5977.0,5566.0,1.0
sigma,3.079,0.28,2.621,3.517,0.005,0.004,2828.0,3567.0,1.0
