,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.7,0.828,6.376,9.109,0.018,0.013,2018.0,1941.0,1.0
beta,0.872,0.107,0.698,1.047,0.002,0.002,2070.0,2652.0,1.0
mu,8.873,0.73,7.622,10.002,0.009,0.007,5936.0,5036.0,1.0
sigma,3.209,0.292,2.726,3.671,0.006,0.004,2801.0,3569.0,1.0
