,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.863,0.806,6.552,9.218,0.02,0.014,1586.0,1901.0,1.0
beta,0.816,0.093,0.671,0.976,0.002,0.002,1634.0,1706.0,1.0
mu,9.669,0.611,8.693,10.672,0.008,0.005,6303.0,5409.0,1.0
sigma,3.461,0.267,3.011,3.867,0.006,0.004,2145.0,2675.0,1.0
