,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.499,0.84,6.115,8.889,0.018,0.013,2164.0,2461.0,1.0
beta,0.848,0.105,0.676,1.019,0.002,0.002,2160.0,2193.0,1.0
mu,8.88,0.677,7.784,10.002,0.009,0.006,6181.0,5313.0,1.0
sigma,3.256,0.287,2.785,3.695,0.005,0.004,2824.0,3236.0,1.0
