,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.724,0.847,6.29,9.09,0.019,0.014,1969.0,2015.0,1.0
beta,0.795,0.102,0.629,0.96,0.002,0.002,1865.0,2556.0,1.0
mu,9.78,0.851,8.37,11.101,0.011,0.008,5661.0,4581.0,1.0
sigma,3.533,0.342,2.989,4.086,0.007,0.005,2533.0,3303.0,1.0
