,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.656,0.882,2.985,6.309,0.015,0.01,3658.0,3698.0,1.0
beta,0.461,0.148,0.182,0.732,0.002,0.002,3629.0,3656.0,1.0
mu,11.136,4.187,4.978,18.892,0.066,0.047,4394.0,4346.0,1.0
sigma,5.199,1.955,2.492,8.838,0.032,0.023,3993.0,3841.0,1.0
