,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.655,0.9,2.915,6.288,0.015,0.011,3386.0,3650.0,1.0
beta,0.459,0.154,0.177,0.735,0.003,0.002,3376.0,3397.0,1.0
mu,11.28,4.46,4.703,19.466,0.075,0.056,4016.0,3126.0,1.0
sigma,5.26,2.047,2.418,9.066,0.036,0.027,3678.0,3321.0,1.0
