,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.251,0.926,2.444,5.94,0.014,0.01,4511.0,4184.0,1.0
beta,0.621,0.189,0.268,0.98,0.003,0.002,4346.0,3242.0,1.0
mu,7.618,3.409,3.087,13.694,0.053,0.039,4800.0,3926.0,1.0
sigma,3.689,1.533,1.708,6.28,0.026,0.019,4712.0,3499.0,1.0
