,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.127,0.946,2.415,5.922,0.014,0.01,4660.0,3971.0,1.0
beta,0.649,0.193,0.295,1.018,0.003,0.002,4258.0,2860.0,1.0
mu,7.05,3.158,2.556,12.547,0.052,0.039,4535.0,3574.0,1.0
sigma,3.458,1.417,1.62,5.863,0.025,0.019,4466.0,3256.0,1.0
