,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.648,0.906,2.938,6.319,0.016,0.012,3080.0,3541.0,1.0
beta,0.46,0.158,0.154,0.73,0.003,0.002,3297.0,3116.0,1.0
mu,11.314,4.613,4.867,19.589,0.074,0.058,4633.0,3964.0,1.0
sigma,5.3,2.271,2.322,9.066,0.042,0.032,3914.0,3303.0,1.0
