,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.187,0.524,3.231,5.174,0.014,0.01,1338.0,1821.0,1.0
beta,0.777,0.112,0.577,0.998,0.003,0.002,1297.0,1868.0,1.0
mu,5.418,0.362,4.733,6.071,0.006,0.004,4269.0,4023.0,1.0
sigma,2.664,0.259,2.219,3.166,0.007,0.005,1529.0,2475.0,1.0
