,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.223,0.933,2.456,5.94,0.014,0.01,4171.0,3733.0,1.0
beta,0.619,0.188,0.252,0.952,0.003,0.002,4110.0,2818.0,1.0
mu,7.599,3.61,2.828,13.513,0.064,0.053,4397.0,3191.0,1.0
sigma,3.689,1.619,1.716,6.29,0.03,0.024,4335.0,3124.0,1.0
