,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.702,0.673,2.498,5.045,0.014,0.01,2341.0,2861.0,1.0
beta,0.768,0.152,0.495,1.057,0.003,0.002,2471.0,3100.0,1.0
mu,4.899,0.794,3.41,6.347,0.011,0.008,5595.0,4187.0,1.0
sigma,2.568,0.423,1.821,3.323,0.007,0.005,3565.0,4080.0,1.0
