,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.873,0.879,3.282,6.573,0.016,0.011,3068.0,3656.0,1.0
beta,0.427,0.141,0.174,0.681,0.003,0.002,3017.0,3718.0,1.0
mu,12.482,4.102,6.461,20.521,0.068,0.049,3778.0,4523.0,1.0
sigma,5.72,1.956,2.855,9.44,0.035,0.025,3320.0,3981.0,1.0
