,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.198,0.745,2.851,5.629,0.013,0.009,3216.0,3612.0,1.0
beta,0.744,0.153,0.463,1.032,0.003,0.002,3120.0,3293.0,1.0
mu,5.797,1.189,3.719,8.035,0.018,0.013,4872.0,3898.0,1.0
sigma,2.845,0.556,1.904,3.84,0.009,0.007,3904.0,3643.0,1.0
