,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.828,0.875,3.178,6.437,0.016,0.011,3003.0,3432.0,1.0
beta,0.465,0.129,0.228,0.707,0.003,0.002,2439.0,3338.0,1.0
mu,10.955,2.822,6.441,16.309,0.048,0.035,3858.0,4433.0,1.0
sigma,5.041,1.371,2.958,7.63,0.028,0.019,2831.0,3778.0,1.0
