,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.23,0.949,2.449,5.987,0.014,0.01,4361.0,3492.0,1.0
beta,0.613,0.196,0.25,0.986,0.003,0.002,3927.0,2698.0,1.0
mu,7.774,3.694,2.856,14.053,0.065,0.047,4025.0,3594.0,1.0
sigma,3.78,1.706,1.683,6.611,0.031,0.023,4012.0,3207.0,1.0
