,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.226,0.94,2.479,6.014,0.015,0.011,3920.0,3571.0,1.0
beta,0.618,0.189,0.245,0.96,0.003,0.002,3729.0,3579.0,1.0
mu,7.647,3.609,2.767,13.76,0.061,0.044,4201.0,3618.0,1.0
sigma,3.719,1.676,1.636,6.402,0.029,0.021,4141.0,3470.0,1.0
