,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.117,0.905,2.402,5.798,0.013,0.01,4488.0,4109.0,1.0
beta,0.653,0.191,0.3,1.008,0.003,0.002,4473.0,3596.0,1.0
mu,6.994,3.244,2.561,12.332,0.052,0.037,4379.0,3884.0,1.0
sigma,3.437,1.477,1.628,5.89,0.024,0.017,4491.0,3490.0,1.0
