,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.23,0.923,2.563,5.971,0.014,0.01,4425.0,3795.0,1.0
beta,0.619,0.196,0.24,0.981,0.003,0.002,4058.0,2813.0,1.0
mu,7.713,3.752,2.785,14.14,0.066,0.048,3980.0,3339.0,1.0
sigma,3.748,1.725,1.575,6.611,0.032,0.023,4034.0,3125.0,1.0
