,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.18,0.904,2.502,5.891,0.014,0.01,4188.0,3597.0,1.0
beta,0.653,0.19,0.289,0.992,0.003,0.002,4458.0,3735.0,1.0
mu,7.049,2.966,2.609,12.385,0.05,0.037,4399.0,3670.0,1.0
sigma,3.438,1.325,1.594,5.771,0.023,0.017,4480.0,3562.0,1.0
