,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.675,0.709,2.405,5.036,0.015,0.011,2178.0,2569.0,1.0
beta,0.574,0.129,0.339,0.813,0.003,0.002,2246.0,2402.0,1.0
mu,6.535,1.056,4.65,8.523,0.015,0.011,5387.0,4361.0,1.0
sigma,3.453,0.641,2.412,4.655,0.012,0.009,2966.0,2962.0,1.0
