,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.236,0.924,2.478,5.982,0.015,0.01,4016.0,3495.0,1.0
beta,0.622,0.191,0.254,0.967,0.003,0.002,4312.0,3658.0,1.0
mu,7.602,3.458,2.776,13.643,0.056,0.041,4408.0,3702.0,1.0
sigma,3.693,1.598,1.669,6.328,0.027,0.019,4507.0,3665.0,1.0
