,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.693,0.693,2.437,4.995,0.014,0.01,2577.0,3163.0,1.0
beta,0.75,0.164,0.425,1.05,0.003,0.002,2570.0,3037.0,1.0
mu,5.066,1.045,3.223,6.99,0.015,0.011,5185.0,4447.0,1.0
sigma,2.658,0.549,1.786,3.688,0.009,0.007,3526.0,3918.0,1.0
