,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.245,0.925,2.536,5.991,0.013,0.009,4768.0,3913.0,1.0
beta,0.617,0.191,0.24,0.956,0.003,0.002,3891.0,2694.0,1.0
mu,7.742,3.852,2.767,13.895,0.072,0.058,4422.0,3032.0,1.0
sigma,3.751,1.732,1.742,6.545,0.034,0.027,4278.0,2787.0,1.0
