,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.2,0.918,2.478,5.907,0.014,0.01,4317.0,3944.0,1.0
beta,0.617,0.185,0.271,0.96,0.003,0.002,4204.0,3748.0,1.0
mu,7.561,3.416,2.881,13.601,0.056,0.042,4339.0,3721.0,1.0
sigma,3.683,1.557,1.743,6.31,0.026,0.02,4352.0,3919.0,1.0
