,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu0,3.648,0.248,3.197,4.122,0.003,0.002,9074.0,5393.0,1.0
sigma0,1.684,0.154,1.399,1.979,0.002,0.001,8632.0,6175.0,1.0
mu1,3.692,0.281,3.171,4.213,0.003,0.002,8207.0,5052.0,1.0
sigma1,1.792,0.144,1.525,2.062,0.002,0.001,8711.0,5710.0,1.0
mu[0],3.648,0.248,3.197,4.122,0.003,0.002,9074.0,5393.0,1.0
mu[1],3.692,0.281,3.171,4.213,0.003,0.002,8207.0,5052.0,1.0
sigma[0],1.684,0.154,1.399,1.979,0.002,0.001,8632.0,6175.0,1.0
sigma[1],1.792,0.144,1.525,2.062,0.002,0.001,8711.0,5710.0,1.0
