,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu0,3.508,0.233,3.054,3.926,0.003,0.002,8413.0,5399.0,1.0
sigma0,1.706,0.142,1.433,1.965,0.002,0.001,7638.0,6156.0,1.0
mu1,3.863,0.271,3.369,4.372,0.003,0.002,7785.0,5347.0,1.0
sigma1,1.777,0.14,1.521,2.049,0.002,0.001,7993.0,5730.0,1.0
mu[0],3.508,0.233,3.054,3.926,0.003,0.002,8413.0,5399.0,1.0
mu[1],3.863,0.271,3.369,4.372,0.003,0.002,7785.0,5347.0,1.0
sigma[0],1.706,0.142,1.433,1.965,0.002,0.001,7638.0,6156.0,1.0
sigma[1],1.777,0.14,1.521,2.049,0.002,0.001,7993.0,5730.0,1.0
