,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu0,3.561,0.217,3.136,3.951,0.002,0.002,9075.0,5174.0,1.0
sigma0,1.69,0.131,1.437,1.931,0.001,0.001,8697.0,5904.0,1.0
mu1,3.863,0.238,3.418,4.303,0.003,0.002,8580.0,5576.0,1.0
sigma1,1.801,0.123,1.569,2.028,0.001,0.001,8238.0,6008.0,1.0
mu[0],3.561,0.217,3.136,3.951,0.002,0.002,9075.0,5174.0,1.0
mu[1],3.863,0.238,3.418,4.303,0.003,0.002,8580.0,5576.0,1.0
sigma[0],1.69,0.131,1.437,1.931,0.001,0.001,8697.0,5904.0,1.0
sigma[1],1.801,0.123,1.569,2.028,0.001,0.001,8238.0,6008.0,1.0
