,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu0,3.511,0.328,2.896,4.118,0.004,0.003,7890.0,5124.0,1.0
sigma0,1.771,0.191,1.408,2.129,0.002,0.002,7924.0,5241.0,1.0
mu1,4.171,0.378,3.42,4.838,0.004,0.003,8235.0,5158.0,1.0
sigma1,1.705,0.173,1.385,2.025,0.002,0.001,9129.0,5583.0,1.0
mu[0],3.511,0.328,2.896,4.118,0.004,0.003,7890.0,5124.0,1.0
mu[1],4.171,0.378,3.42,4.838,0.004,0.003,8235.0,5158.0,1.0
sigma[0],1.771,0.191,1.408,2.129,0.002,0.002,7924.0,5241.0,1.0
sigma[1],1.705,0.173,1.385,2.025,0.002,0.001,9129.0,5583.0,1.0
