,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu0,3.641,0.26,3.153,4.135,0.003,0.002,7930.0,5472.0,1.0
sigma0,1.726,0.16,1.435,2.038,0.002,0.001,7732.0,5686.0,1.0
mu1,3.646,0.291,3.103,4.186,0.003,0.002,7837.0,5195.0,1.0
sigma1,1.814,0.146,1.523,2.067,0.002,0.001,8454.0,5669.0,1.0
mu[0],3.641,0.26,3.153,4.135,0.003,0.002,7930.0,5472.0,1.0
mu[1],3.646,0.291,3.103,4.186,0.003,0.002,7837.0,5195.0,1.0
sigma[0],1.726,0.16,1.435,2.038,0.002,0.001,7732.0,5686.0,1.0
sigma[1],1.814,0.146,1.523,2.067,0.002,0.001,8454.0,5669.0,1.0
