,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu0,3.537,0.23,3.094,3.959,0.002,0.002,9211.0,5502.0,1.0
sigma0,1.691,0.14,1.428,1.953,0.002,0.001,8280.0,5911.0,1.0
mu1,3.757,0.251,3.288,4.225,0.003,0.002,8305.0,5166.0,1.0
sigma1,1.779,0.133,1.53,2.029,0.001,0.001,8443.0,5776.0,1.0
mu[0],3.537,0.23,3.094,3.959,0.002,0.002,9211.0,5502.0,1.0
mu[1],3.757,0.251,3.288,4.225,0.003,0.002,8305.0,5166.0,1.0
sigma[0],1.691,0.14,1.428,1.953,0.002,0.001,8280.0,5911.0,1.0
sigma[1],1.779,0.133,1.53,2.029,0.001,0.001,8443.0,5776.0,1.0
