,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.396,0.243,4.962,5.869,0.003,0.002,6691.0,5447.0,1.0
sigma,2.094,0.133,1.854,2.349,0.002,0.001,7015.0,4657.0,1.0
