,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.511,0.226,5.082,5.928,0.003,0.002,7553.0,5457.0,1.0
sigma,2.242,0.12,2.022,2.472,0.001,0.001,7270.0,5216.0,1.0
