,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.425,0.204,5.055,5.822,0.002,0.002,7498.0,5569.0,1.0
sigma,2.255,0.116,2.041,2.473,0.001,0.001,7679.0,5663.0,1.0
