,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.683,0.153,5.41,5.982,0.002,0.001,7882.0,5582.0,1.0
sigma,2.4,0.118,2.177,2.617,0.001,0.001,8028.0,5756.0,1.0
