,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu0,3.512,0.203,3.122,3.887,0.002,0.002,8357.0,5069.0,1.0
sigma0,1.704,0.122,1.476,1.935,0.001,0.001,8125.0,5941.0,1.0
mu1,3.915,0.233,3.48,4.348,0.003,0.002,8093.0,5495.0,1.0
sigma1,1.793,0.12,1.564,2.014,0.001,0.001,8375.0,5379.0,1.0
mu[0],3.512,0.203,3.122,3.887,0.002,0.002,8357.0,5069.0,1.0
mu[1],3.915,0.233,3.48,4.348,0.003,0.002,8093.0,5495.0,1.0
sigma[0],1.704,0.122,1.476,1.935,0.001,0.001,8125.0,5941.0,1.0
sigma[1],1.793,0.12,1.564,2.014,0.001,0.001,8375.0,5379.0,1.0
