,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.598,0.166,5.289,5.914,0.002,0.001,6529.0,5286.0,1.0
sigma,2.343,0.116,2.13,2.563,0.001,0.001,6834.0,4635.0,1.0
