,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.5,0.177,5.16,5.829,0.002,0.001,7201.0,4784.0,1.0
sigma,2.279,0.117,2.062,2.496,0.001,0.001,6747.0,5139.0,1.0
