,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu0,3.592,0.229,3.171,4.034,0.002,0.002,9221.0,4978.0,1.0
sigma0,1.672,0.138,1.414,1.937,0.002,0.001,8368.0,5474.0,1.0
mu1,3.79,0.245,3.318,4.241,0.003,0.002,8621.0,5418.0,1.0
sigma1,1.754,0.132,1.509,2.004,0.001,0.001,8821.0,5660.0,1.0
mu[0],3.592,0.229,3.171,4.034,0.002,0.002,9221.0,4978.0,1.0
mu[1],3.79,0.245,3.318,4.241,0.003,0.002,8621.0,5418.0,1.0
sigma[0],1.672,0.138,1.414,1.937,0.002,0.001,8368.0,5474.0,1.0
sigma[1],1.754,0.132,1.509,2.004,0.001,0.001,8821.0,5660.0,1.0
