,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.496,0.182,5.161,5.84,0.002,0.002,7213.0,5238.0,1.0
sigma,2.28,0.116,2.067,2.501,0.001,0.001,6872.0,5329.0,1.0
