,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.69,0.15,5.427,5.984,0.002,0.001,7313.0,5737.0,1.0
sigma,2.399,0.119,2.171,2.615,0.001,0.001,7136.0,5278.0,1.0
