,Direct Sampling,Direct Sampling,Direct Sampling,MvN-approx.,MvN-approx.,MvN-approx.,Meta-analysis,Meta-analysis,Meta-analysis
,mean,sd,hdi,mean,sd,hdi,mean,sd,hdi
alpha,4.05,0.09,"[3.95, 4.18]",4.03,0.36,"[3.44, 4.62]",5.58,2.01,"[2.49, 8.83]"
beta,0.65,0.01,"[0.63, 0.67]",0.68,0.06,"[0.57, 0.78]",0.84,0.26,"[0.43, 1.27]"
mu,6.19,0.27,"[5.69, 6.46]",5.92,0.20,"[5.60, 6.25]",6.28,0.65,"[5.27, 7.31]"
sigma,3.08,0.10,"[2.88, 3.18]",2.96,0.15,"[2.72, 3.22]",2.90,0.89,"[2.15, 4.23]"
pdf,6.23,3.08,"[1.51, 10.78]",5.84,2.92,"[1.33, 10.07]",6.62,2.76,"[2.15, 10.60]"
