,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[3],6.006,0.548,5.056,6.856,0.005,0.004,10698.0,6489.0,1.0
mu[4],5.818,0.532,4.873,6.607,0.005,0.004,9983.0,7066.0,1.0
mu[5],5.701,0.511,4.855,6.517,0.005,0.004,9140.0,6415.0,1.0
mu[6],6.745,0.794,5.587,7.897,0.009,0.007,7218.0,6292.0,1.0
mu[7],6.106,0.63,5.121,7.136,0.007,0.005,9181.0,6646.0,1.0
mu[8],6.1,0.648,5.015,7.084,0.007,0.005,10017.0,6727.0,1.0
mu[9],6.101,0.632,5.088,7.108,0.006,0.005,9766.0,7133.0,1.0
mu[10],6.464,0.72,5.443,7.633,0.008,0.006,8623.0,6307.0,1.0
mu[11],6.464,0.714,5.47,7.574,0.008,0.006,8579.0,7028.0,1.0
mu[12],6.459,0.741,5.399,7.61,0.008,0.006,8283.0,6676.0,1.0
mu[13],6.454,0.716,5.375,7.543,0.008,0.006,8801.0,6463.0,1.0
mu[14],6.145,0.63,5.168,7.194,0.007,0.005,8771.0,6610.0,1.0
mu[15],6.153,0.642,5.115,7.137,0.007,0.005,9622.0,6285.0,1.0
mu[16],6.147,0.638,5.098,7.126,0.007,0.005,9626.0,6494.0,1.0
mu[17],6.154,0.638,5.114,7.125,0.007,0.005,8989.0,6389.0,1.0
mu[18],6.16,0.643,5.134,7.185,0.007,0.005,9725.0,6236.0,1.0
mu[19],6.151,0.635,5.139,7.181,0.007,0.005,9118.0,6718.0,1.0
mu[20],6.146,0.645,5.108,7.168,0.007,0.005,9543.0,6538.0,1.0
mu[21],6.162,0.643,5.159,7.203,0.007,0.005,9471.0,6650.0,1.0
mu[22],6.154,0.647,5.037,7.121,0.007,0.005,9554.0,6748.0,1.0
sigma[0],2.877,0.145,2.642,3.111,0.002,0.001,6509.0,7340.0,1.0
sigma[1],3.295,0.324,2.848,3.77,0.004,0.003,7437.0,5831.0,1.0
sigma[2],3.081,0.214,2.748,3.439,0.002,0.002,9233.0,6662.0,1.0
sigma[3],3.004,0.224,2.656,3.387,0.002,0.002,10566.0,6179.0,1.0
sigma[4],2.938,0.221,2.573,3.287,0.002,0.002,9865.0,6802.0,1.0
sigma[5],2.892,0.215,2.513,3.207,0.002,0.002,8821.0,6575.0,1.0
sigma[6],3.285,0.31,2.84,3.727,0.004,0.003,6932.0,6637.0,1.0
sigma[7],3.045,0.25,2.633,3.434,0.003,0.002,9129.0,6512.0,1.0
sigma[8],3.044,0.264,2.603,3.442,0.003,0.002,9722.0,6319.0,1.0
sigma[9],3.044,0.254,2.616,3.437,0.003,0.002,9710.0,6991.0,1.0
sigma[10],3.184,0.285,2.776,3.638,0.003,0.002,8628.0,6019.0,1.0
sigma[11],3.183,0.284,2.785,3.622,0.003,0.002,8687.0,6632.0,1.0
sigma[12],3.181,0.294,2.743,3.609,0.003,0.002,8390.0,6295.0,1.0
sigma[13],3.18,0.286,2.767,3.629,0.003,0.002,8597.0,5878.0,1.0
sigma[14],3.061,0.255,2.663,3.48,0.003,0.002,8759.0,6714.0,1.0
sigma[15],3.062,0.255,2.666,3.474,0.003,0.002,9828.0,6211.0,1.0
sigma[16],3.061,0.256,2.667,3.47,0.003,0.002,9441.0,6307.0,1.0
sigma[17],3.064,0.259,2.641,3.454,0.003,0.002,8910.0,5419.0,1.0
sigma[18],3.066,0.259,2.659,3.479,0.003,0.002,10179.0,6658.0,1.0
sigma[19],3.062,0.256,2.677,3.498,0.003,0.002,9509.0,7058.0,1.0
sigma[20],3.06,0.257,2.656,3.469,0.003,0.002,9718.0,6183.0,1.0
sigma[21],3.067,0.26,2.64,3.465,0.003,0.002,10080.0,6478.0,1.0
sigma[22],3.065,0.258,2.647,3.466,0.003,0.002,9638.0,6381.0,1.0
