,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,5.723,0.12,5.528,5.919,0.001,0.001,6633.0,5297.0,1.0
sigma,2.388,0.133,2.167,2.603,0.002,0.001,5906.0,4451.0,1.0
